"";"X";"openalex_id";"journal_name";"publication_year";"osf_links";"git_links";"has_osf";"has_git";"has_any_link";"all_osf_links_clean";"all_git_links_clean"
"31";31;"W4413846418";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"32";32;"W4413842704";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"33";33;"W4413846300";"Cogent Education";2025;"OSF.IO/69YF3||osf.io/69yf3";NA;TRUE;FALSE;TRUE;"osf.io/69yf3; osf.io/69yf3";NA
"34";34;"W4413846653";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"35";35;"W4413848851";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"36";36;"W4413849018";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"37";37;"W4413812334";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"38";38;"W4413819281";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"39";39;"W4413781195";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"40";40;"W4413777167";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"41";41;"W4413781370";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"42";42;"W4413781481";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"43";43;"W4413636315";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"44";44;"W4413660878";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"45";45;"W4413680475";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"46";46;"W4413681587";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"47";47;"W4413583883";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"48";48;"W4413572883";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"49";49;"W4413574552";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"50";50;"W4413577987";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"51";51;"W4413452830";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"52";52;"W4413449551";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"53";53;"W4413420452";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"54";54;"W4413426162";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"55";55;"W4413381739";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"56";56;"W4413354168";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"57";57;"W4413384479";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"58";58;"W4413324606";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"59";59;"W4413325591";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"60";60;"W4413311465";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"61";61;"W4413277458";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"62";62;"W4413292172";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"63";63;"W4413292437";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"64";64;"W4413441387";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"65";65;"W4413442180";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"66";66;"W4413341035";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"67";67;"W4413441632";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"68";68;"W4413131068";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"69";69;"W4413104423";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"70";70;"W4413104222";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"71";71;"W4413130550";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"72";72;"W4413104155";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"73";73;"W4410120997";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"74";74;"W4408961923";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"75";75;"W4408938950";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"76";76;"W4408970846";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"77";77;"W4408970664";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"78";78;"W4408970600";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"79";79;"W4408897977";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"80";80;"W4408925886";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"81";81;"W4408899347";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"82";82;"W4408882313";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"83";83;"W4408878924";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"84";84;"W4408911998";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"85";85;"W4408784677";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"86";86;"W4408819908";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"87";87;"W4408828995";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"88";88;"W4408786931";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"89";89;"W4408819365";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"90";90;"W4408820709";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"91";91;"W4408806559";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"92";92;"W4408756697";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"93";93;"W4408756461";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"94";94;"W4408694460";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"95";95;"W4408652118";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"96";96;"W4408651209";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"97";97;"W4408652880";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"98";98;"W4408651220";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"99";99;"W4408618833";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"100";100;"W4408617739";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"101";101;"W4408618926";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"102";102;"W4408500577";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"103";103;"W4408503404";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"104";104;"W4408515321";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"105";105;"W4408536739";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"106";106;"W4408473698";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"107";107;"W4408473839";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"108";108;"W4408473064";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"109";109;"W4408422155";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"110";110;"W4408422304";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"111";111;"W4408412646";"Cogent Education";2025;"osf.io/384jb/? view_only=aef2e6b2bdc54ed684e89ff6636200c4||osf.io/384jb/? view_only=aef2e6b2bdc54ed684e89ff6636200c4";NA;TRUE;FALSE;TRUE;"osf.io/384jb/? view_only=aef2e6b2bdc54ed684e89ff6636200c4; osf.io/384jb/? view_only=aef2e6b2bdc54ed684e89ff6636200c4";NA
"112";112;"W4408412971";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"113";113;"W4408413394";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"114";114;"W4408328129";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"115";115;"W4408312162";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"116";116;"W4408327983";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"117";117;"W4408328264";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"118";118;"W4408328288";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"119";119;"W4408275460";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"120";120;"W4408288435";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"121";121;"W4408300380";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"122";122;"W4408168200";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"123";123;"W4408191185";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"124";124;"W4408195655";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"125";125;"W4408186584";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"126";126;"W4408187295";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"127";127;"W4408164877";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"128";128;"W4408221033";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"129";129;"W4408151261";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"130";130;"W4408151389";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"131";131;"W4408109032";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"132";132;"W4408117704";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"133";133;"W4408069616";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"134";134;"W4408069611";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"135";135;"W4408078455";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"136";136;"W4408055355";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"137";137;"W4408056627";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"138";138;"W4408053292";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"139";139;"W4408022587";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"140";140;"W4407918134";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"141";141;"W4407916958";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"142";142;"W4407905188";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"143";143;"W4407904904";"Cogent Education";2025;NA;NA;FALSE;FALSE;FALSE;NA;NA
"144";144;"W4405168672";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"145";145;"W4404889691";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"146";146;"W4404851418";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"147";147;"W4404763836";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"148";148;"W4404768696";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"149";149;"W4404413180";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"150";150;"W4404376253";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"151";151;"W4404318683";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"152";152;"W4404280587";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"153";153;"W4404247208";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"154";154;"W4404250440";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"155";155;"W4403982068";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"156";156;"W4403898472";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"157";157;"W4403868574";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"158";158;"W4403638692";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"159";159;"W4403638698";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"160";160;"W4403544669";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"161";161;"W4403294996";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"162";162;"W4403172673";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"163";163;"W4401846496";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"164";164;"W4401841224";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"165";165;"W4401568380";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"166";166;"W4401544076";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"167";167;"W4401459970";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"168";168;"W4401418694";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"169";169;"W4401430560";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"170";170;"W4401386198";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"171";171;"W4401361643";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"172";172;"W4401340227";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"173";173;"W4401335419";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"174";174;"W4401285491";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"175";175;"W4401284535";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"176";176;"W4401261046";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"177";177;"W4401205616";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"178";178;"W4401205644";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"179";179;"W4401184868";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"180";180;"W4401116347";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"181";181;"W4401047067";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"182";182;"W4401046918";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"183";183;"W4401030982";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"184";184;"W4401035786";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"185";185;"W4401029877";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"186";186;"W4401030828";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"187";187;"W4400901693";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"188";188;"W4400901572";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"189";189;"W4400891683";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"190";190;"W4400889179";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"191";191;"W4400888967";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"192";192;"W4400865915";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"193";193;"W4400897522";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"194";194;"W4400864585";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"195";195;"W4400850472";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"196";196;"W4400849138";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"197";197;"W4400849059";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"198";198;"W4400841094";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"199";199;"W4400849100";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"200";200;"W4400841408";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"201";201;"W4400770121";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"202";202;"W4400769303";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"203";203;"W4400647590";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"204";204;"W4400646642";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"205";205;"W4400648117";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"206";206;"W4400646338";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"207";207;"W4400648221";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"208";208;"W4400647236";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"209";209;"W4400646957";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"210";210;"W4400647890";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"211";211;"W4400600364";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"212";212;"W4400577658";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"213";213;"W4400591283";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"214";214;"W4400524926";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"215";215;"W4400489270";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"216";216;"W4400488470";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"217";217;"W4400488926";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"218";218;"W4400489004";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"219";219;"W4400489455";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"220";220;"W4400464243";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"221";221;"W4400471904";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"222";222;"W4400472425";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"223";223;"W4400473530";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"224";224;"W4400380738";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"225";225;"W4400316153";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"226";226;"W4400314565";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"227";227;"W4400315412";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"228";228;"W4400275419";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"229";229;"W4400246320";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"230";230;"W4400246292";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"231";231;"W4400245809";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"232";232;"W4400246016";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"233";233;"W4400246092";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"234";234;"W4400262203";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"235";235;"W4400169694";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"236";236;"W4400113557";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"237";237;"W4400127147";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"238";238;"W4400071903";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"239";239;"W4400134762";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"240";240;"W4400035654";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"241";241;"W4400032244";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"242";242;"W4400061089";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"243";243;"W4399914936";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"244";244;"W4399915182";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"245";245;"W4399923341";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"246";246;"W4399923524";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"247";247;"W4399882866";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"248";248;"W4399850660";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"249";249;"W4399850451";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"250";250;"W4399808223";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"251";251;"W4399778322";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"252";252;"W4399783091";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"253";253;"W4399765975";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"254";254;"W4399639562";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"255";255;"W4399577035";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"256";256;"W4399527003";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"257";257;"W4399493891";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"258";258;"W4399493967";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"259";259;"W4399509140";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"260";260;"W4399461517";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"261";261;"W4399462268";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"262";262;"W4399428146";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"263";263;"W4399427993";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"264";264;"W4399428412";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"265";265;"W4399428366";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"266";266;"W4399393388";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"267";267;"W4399393481";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"268";268;"W4399393761";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"269";269;"W4399393633";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"270";270;"W4399392725";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"271";271;"W4399393776";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"272";272;"W4399371005";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
"273";273;"W4399361847";"Cogent Education";2024;NA;NA;FALSE;FALSE;FALSE;NA;NA
