Article_ID,OpenAlex_ID,Title,Keyword,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
19,W4409998149,Bolstering spatial learning in the primary classroom: identifying the factors underlying primary teachers spatial pedagogical practices,teacher cognition; spatial skills; spatial anxiety; spatial habits of mind; primary education,0,0,0,0,1,1,0,0,1,0,0,0,0,0
20,W4405365491,Development and validation of a rapid and precise online sentence reading efficiency assessment,dyslexia; reading fluency assessment; screening tools; reading fluency and comprehension; progress monitoring; psychometrics,0,0,0,1,0,0,0,0,0,0,0,1,0,0
21,W4400962596,Perception of Mandarin tones across different phonological contexts by native and tone-naive listeners,tonal coarticulation; perceptual compensation; Mandarin; lexical tones; L2 speech perception,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,W4389274347,Revisiting barriers to implementation of bioinformatics into life sciences education,undergraduate education; STEM education; bioinformatics; barriers to integration; education reform,0,1,1,0,0,0,0,0,0,0,1,0,0,0
23,W4386727353,Orthographic similarity ratings for English-Spanish cognates from the academic word list,cognates; academic word list; orthographic similarity; reading; education; bilingualism,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,W4353082122,Rates of chronic absenteeism in Montessori and non-Montessori Title 1 schools,racial disparities; chronic absenteeism; Montessori education; multilevel modeling; Title 1 schools,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,W4319320567,"Nuclear history, politics, and futures from (A)toms-to(Z)oom: Design and deployment of a remote-learning special-topics course for nuclear engineering education",nuclear physics and engineering history; remote education; STEM pedagogy; nontechnical engineering education; history of science,0,1,0,0,0,0,0,1,1,0,0,0,0,0
26,W4315488232,"Differential relations among expectancy, task value, engagement, and academic performance: The role of generation status",first-generation college students; continuing-generation college students; situated expectancy-value theory; school motivation; school engagement,0,0,1,0,1,0,1,0,0,0,0,0,0,0
27,W4283010488,Exploring the Associations Between MAP Growth and SBA by Demographics,formative assessment; summative assessment; measures of academic progress; smarter balanced assessment consortium; growth,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,W4223434992,An Interactive Web Application Helps Students Explore Water Balance Concepts,water balance; water budget; web app; teaching; hydrology,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,W4214524351,Gender Bias Interacts With Instructor Disfluency to Negatively Affect Student Evaluations of Teaching,instructor fluency; gender bias; student evaluations of teaching; learning; judgments of learning,0,0,0,1,0,0,1,0,0,0,0,0,0,0
30,W3177207251,Factors Influencing Success in Advanced Engineering Mathematics Courses: A Case Study,COVID-19; engineering mathematics; lecturing schedule; cellphone usage; screen time,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,W3092489168,Explainable Automated Essay Scoring: Deep Learning Really Has Pedagogical Value,explainable artificial intelligence; SHAP; automated essay scoring; deep learning; trust; learning analytics; feedback; rubric,1,0,0,1,0,0,0,0,1,0,0,0,0,0
32,W2959342157,A Single-Item Measure for Assessing STEM Identity, STEM identity; STEM attitudes; STEM self-efficacy; agency; goals,0,1,0,0,1,0,0,0,0,0,0,0,0,0
33,W4417158255,Optimizing Assessment Thresholds of a Computer Gaming Intervention for Students with or at Risk for Mathematics Learning Disabilities: Accuracy and Response Time Trade-Offs,drift diffusion model; speed-accuracy trade-offs; mathematics learning disabilities; assessment thresholds; technology-based gaming interventions,1,0,0,1,0,0,1,0,1,0,0,0,0,0
34,W4415361874,Exploring the Power and Possibility of Contextually Relevant Social StudiesLiteracy Integration,contextually relevant; curriculum; vocabulary; interest; literacy,0,0,0,0,1,0,0,0,1,0,0,1,0,0
35,W4409068335,Detecting Credit-Seeking Behavior with Programmed Instruction Framesets in a Formal Languages Course,programmed instruction; student engagement; automated assessment; eTextbook; credit-seeking behavior; formal languages,0,0,0,1,1,0,0,0,1,0,1,1,0,0
36,W4395037310,Support without Status: Inequities in StudentAdvisor Relational Dynamics between First-Generation and Continuing-Generation Doctoral Students,first-generation students; doctoral education; STEM education; faculty advisor relationships; cultural capital; inequality,0,1,1,0,0,0,1,0,0,0,0,0,0,0
37,W4381662496,"Childrens Stress in the Time of COVID-19: Relationships with School, Social and Recreational Experiences",COVID-19; children; parents; school; stress; relationships; recreation,0,0,0,0,1,0,0,0,0,0,0,0,0,1
38,W4293420073,A Brief Parent-Coaching Package for Tiered Language Interventions,parent coaching; language intervention; dual language learners; naturalistic language strategies; multiple baseline design,0,0,0,0,0,0,0,0,1,0,0,1,0,1
39,W4415762252,How Academic Preparation Shapes College Students Own Success and the Success of their Peers in Corequisite Courses: Evidence from Texas,colleges; educational reform; higher education; regression analyses; developmental education; corequisite reform; academic preparation; peer effects; high school course taking,0,0,1,0,0,0,0,0,0,0,1,0,0,1
40,W4413767889,Replicating a Middle-School Belonging Intervention: Evidence from a Randomized Trial Within a New School District,adolescence; belonging; experimental research; middle schools; psychology,0,0,0,0,1,0,0,0,1,0,1,0,0,0
41,W3153069046,A primer on gathering and analysing multi-level quantitative evidence for differential student outcomes in higher education,"diversity; transitions; attainment gaps; continuation gaps; micro, meso and macro level",0,0,1,0,0,0,1,0,0,0,0,0,0,0
42,W4416596593,Challenges and feasibility of multimodal LLMs in ER diagram evaluation,Entity-relationship diagrams; diagram evaluation; automated assessment; chain-of-thought; multimodal large language models,1,0,0,1,0,0,0,0,0,0,0,1,0,0
43,W4415738352,Advocating for a holistic culture of school wellbeingan evaluation of the Well Schools whole school approach to pupil and teacher wellbeing,wellbeing; mental health; whole school interventions; evaluation; teachers,0,0,0,1,1,1,0,0,1,0,0,0,0,0
44,W4406128230,Facing the fear: a scaffolding approach to teaching life sciences undergraduates R coding,coding; life sciences; R; undergraduates; neuroscience; physiology,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,W4224244032,Facilitating Research-Informed Educational Practice for Inclusion. Survey Findings From 147 Teachers and School Leaders in England,research-use; research-informed practice; teacher research use; classification tree analysis; Jean Baudrillard; benefits of research; costs of research; signification of research,0,0,0,0,0,1,1,0,1,0,0,0,0,0
46,W3200389379,The Cost of Asking: Say that Again?: A Social Capital Theory View Into How Lecture Recording Supports Widening Participation,technology enhanced learning; widening participation; higher education; lecture recording; lecture capture; education equality,1,0,1,0,0,0,0,0,0,0,0,0,0,0
47,W2801458276,The Rules of Engagement: Student Engagement and Motivation to Improve the Quality of Undergraduate Learning, students; quality; nominal group technique; focus groups; higher education,0,0,1,0,1,0,0,0,0,0,0,0,0,0
48,W4401910226,Can Social Identities Improve Working Students Academic and Social Outcomes? Lessons from Three Studies,social identity; working students; academic achievement; approaches to learning; academic self-efficacy,0,0,0,0,1,0,0,0,1,0,0,0,0,0
49,W4388634757,E-Learning at-Risk Group Prediction Considering the Semester and Realistic Factors,at-risk prediction; dropout prediction; OULAD; voting classifier; SHAP,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,W4408158809,Disadvantaged by chance? Examining the persistence of relative age effects on educational achievement,relative age effect; school starting age; cumulative (dis)advantage; education; Switzerland; data linkage,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,W4280562791,The more the better? Comparing two SQD-based learning designs in a teacher training on augmented and virtual reality,WillSkillTool model; Teacher education; Teacher training; SQD model; Augmented reality; Virtual reality; Learning design; Learning events,0,0,0,0,0,1,0,1,1,0,0,0,0,0
52,W4417277946,One-Year Follow-Up of Two Intensive Supplemental Reading and Mathematics Programs in Swedish Elementary School,follow-up; longitudinal; phonics; mathematics; randomized controlled studies; intervention; special education,0,0,0,0,0,0,1,0,1,0,1,1,0,1
53,W4411131429,Occupational health in the educational context: a descriptive and correlational study,school; teacher; psychological distress; disorder; work,0,0,0,0,1,1,0,0,0,0,0,0,0,0
54,W4360619301,Integrating COIL in teacher training: An estimation of learners motivational attitudes,learners motivation; teacher training education; international education; ARCS; IMMS,0,0,0,0,1,1,0,0,0,0,1,0,0,0
55,W4415956526,Gamifying Renewable Energy: Enhancing Pre-University Students Knowledge and Attitudes Toward Science and Technology,"escape room; science and technology (S&T); science, technology, engineering, and mathematics (STEM); sustainability education",1,1,1,0,0,0,0,0,0,0,0,0,0,0
56,W4386837702,Multidimensional Psychometrics of Teacher Educators Professional Identity: An Initial Validation with Teacher Educators in Southeast Asia,professional identity; teacher educators; psychometrics; Southeast Asia; confirmatory factor analysis,0,0,0,1,1,1,0,0,0,0,0,0,0,0
57,W4210578668,Anthropomorphisms in multimedia learning: Do they facilitate learning in primary school learners?,emotional design; multimedia learning; anthropomorphisms; learning facilitation,0,0,0,0,1,0,0,0,0,0,0,0,0,1
58,W4391404408,Development and Evaluation of a Custom GPT for the Assessment of Students Designs in a Typography Course,assessment; ChatGPT; GPT-4; artificial intelligence; typography design; teaching and learning assessment,1,0,0,1,0,0,0,0,0,0,0,0,0,0
59,W3211926692,Improving Comprehension: Intelligent Tutoring System Explaining the Domain Rules When Students Break Them,Blooms taxonomy; adaptive learning; cognitive learning; constraint-based tutors; intelligent tutoring system,1,0,0,0,0,0,0,0,0,0,1,1,0,0
60,W4414156464,"Towards Quality Education for All: Integrating EdTech, Mentorship, and Community in Support of SDG 4",EdTech; inclusive education; STEM education; mentorship; service learning; digital tools; remote learning; educational equity,0,1,0,0,0,0,1,1,0,0,0,0,1,0
61,W4409606309,ChatGPT in Education: Challenges in Local Knowledge Representation of Romanian History and Geography,ChatGPT in education; regional knowledge gaps; Romanian history; geography education; AI limitations; digitalization gap; knowledge integration,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,W4407555354,Validation and proposal of a short version of the Motivated Strategies for Learning Questionnaire (MSLQ) for Portuguese adolescent students,questionnaire; validation; psychometrics; self-regulated learning; adolescents,0,0,0,1,1,0,0,0,0,0,0,0,0,0
63,W4403764405,Effectiveness and Long-Term Effects of SER + FELIZ (mente): A School-Based Mindfulness Program for Portuguese Elementary Students,school-based mindfulness programs; attentional control; emotional regulation; wellbeing; elementary students,0,0,0,0,1,0,0,0,0,0,1,0,0,1
64,W4387048380,Does Gamification Make a Difference in Programming Education? Evaluating FGPE-Supported Learning Outcomes,gamification in education; interactive learning environment; programming learning environment; gamified learning outcomes; learning outcomes assessment,0,0,0,1,0,0,0,1,0,0,1,0,0,0
65,W4402234709,Gamification applied with the SOAR study method for time management of university students,Time management; study method; gamification; university students; mobile apps; academic activities,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,W7139971935,The role of competence and autonomy support in instructor motivation: a path model in Norwegian higher education,Higher education; instructors; autonomy support; competence; intrinsic motivation,0,0,1,0,1,0,0,0,0,0,0,0,0,0
67,W4415127440,"Assessing the correspondence of the basic science curriculum across the different classes with core curriculum specifications in Ebonyi State, Nigeria",Correspondence; basic science curriculum; core curriculum; specifications; secondary schools,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68,W3198870776,Setting Standards With Multiple-Choice Tests: A Preliminary Intended-User Evaluation of SmartStandardSet,Data science applications in education; human-computer interface; Pedagogical issues; Post-secondary education; Teaching/Learning strategies,0,0,0,1,0,0,0,0,1,0,0,0,0,0
69,W2921821709,A Quantitative Exploration of Two Teachers with Contrasting Emotions: Intra-Individual Process Analyses of Physiology and Interpersonal Behavior,Teacher emotions; process analyses; physiology; heart rate; interpersonal teacher behavior,0,0,0,0,1,1,0,0,0,0,0,0,0,0
70,W4414222544,Using music for other subjects in primary schools: empirical survey findings from teachers and a systematic scoping review,Musicality; musical instruments; singing; song; elementary school; courses; pseudo-replicates,0,0,0,0,0,1,0,0,0,0,1,0,0,1
71,W4403576529,The effect of tutoring primary school pupils by university students on STEM interest: a pre-registered randomised controlled trial,STEM; tutoring; diversity; socioeconomic status; primary education,0,1,1,0,1,0,1,0,0,1,0,0,0,1
72,W4414366094,"Studying with GenAI: cross-sectional study on usage patterns, needs, competencies, and ethical perspectives of medical informatics students",generative AI; GenAI literacy; GenAI usage patterns; higher education; ethical attitudes; GenAI competences and skills; DigComp 2.2; GenAI skill development,1,0,1,0,0,0,0,0,0,0,0,1,0,0
73,W3188444373,Lockdown Learning: Changes in Online Foreign-Language Study Activity and Performance of Dutch Secondary School Students During the COVID-19 Pandemic,distance learning; learning analytics; COVID-19; Technology-enhanced learning; secondary education,1,0,0,0,0,0,0,1,0,0,0,1,0,0
74,W3176599558,Non-Symbolic Numerosity and Symbolic Numbers are not Processed Intuitively in Children: Evidence From an Event-Related Potential Study,ANS mapping account; ANS theory; Children; Non-symbolic numerosity; Symbolic number processing; ERP,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75,W2901753813,Effects of Self-Explaining on Learning and Transfer of Critical Thinking Skills, critical thinking; reasoning; heuristics and biases; instructional design; desirable difficulties; self-explaining,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,W4366772406,A Person-Centered Approach toward Balanced Gender Identity in Emerging Adults: Associations with Self-Esteem and Attitudes about Education,balanced identity theory; gender-science stereotypes; gender identity; self-concept; occupational interest,0,0,0,0,1,0,1,0,0,0,0,0,0,0
77,W4313472085,Nudging Autonomous Learning Behavior: Three Field Experiments,nudging; autonomous learning behavior; classroom intervention; educational psychology,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,W3159791589,COVID-19 Lockdown Education: The Importance of Structure in a Suddenly Changed Learning Environment,COVID-19 lockdown education; structure in education; online education; secondary education; teacher knowledge,0,0,0,0,0,1,0,1,0,0,0,0,0,0
79,W2996586050,A Path to Greater Credibility: Large-Scale Collaborative Education Research,credibility revolution; open science; replicability crisis,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80,W2884404464,Open Education Science,preregistration; open science; registered report; open access,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,W4411106697,Assessment mode and inconsistent responding on a mixed-worded scale: evidence from TIMSS 2019 across grades and countries,assessment mode; inconsistent responding; mixed-worded scale; TIMSS; cross-cultural comparison,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,W4410905797,Machine learning for post-diploma educational and career guidance: a scoping review in AI-driven decision support systems,achine learning; post-diploma guidance; educational guidance; career guidance; predictive analytics; scoping review,1,0,0,0,0,0,0,0,0,0,1,0,0,0
83,W4409074390,Skill-based employment taxonomy in the global IT industry 5.0,IT employment taxonomy; Industry 5.0 skills; job classification; information technology market; STEM skills; educational innovation; higher education; professional education,1,1,1,0,0,0,0,0,0,0,0,0,0,0
84,W4408041072,Mapping the global research on project-based learning: a bibliometric and network analysis (20142024),project-based learning; scientific publications; PRISMA; bibliometrics; network analysis,0,0,0,0,0,0,0,0,0,0,0,0,1,0
85,W4407253394,A systematic review of serious games as tools for STEM education,serious games; STEM education; game-based learning; learning outcomes; engagement; performance,0,1,0,0,1,0,0,0,0,0,1,0,0,0
86,W4402636295,A systematic review and meta-analysis of intervention studies on mathematics and science pedagogical content knowledge,pedagogical content knowledge; intervention; meta-analysis; systematic review; meta-regression analysis,0,0,0,0,0,0,0,0,1,0,1,0,0,0
87,W4399871994,Integrating immersive technologies with STEM education: a systematic review,immersive technologies; virtual reality; augmented reality; STEM education; PICOS approach; PRISMA guidelines; teaching and learning,1,1,0,0,0,0,0,1,0,0,1,0,0,0
88,W4393987203,A systematic review of transparency in Lesson Study research: how do we report on the observation and reflection stages?,professional development; Lesson Study; research transparency; observation; reflection; systematic review,0,0,0,0,0,1,0,0,1,1,1,0,0,0
89,W3217578254,Socioeconomic Status as a Multidimensional Predictor of Student Achievement in 77 Societies,student achievement; achievement gap; socioeconomic status; human development; composite measure,0,0,0,0,0,0,1,0,0,0,0,0,0,0
90,W3177938779,Academic Integrity in Online Assessment: A Research Review,academic integrity; academic dishonesty; cheating; online courses; remote teaching,0,0,0,1,1,0,0,0,0,0,0,0,0,0
91,W3126618872,A Systematic Literature Review of Analytics for Adaptivity Within Educational Video Games,analytics; educational video games; serious games; game-based learning; adaptivity; learning; systematic review,0,0,0,0,0,0,0,0,0,0,1,0,0,0
92,W3047139001,Multiple Texts as a Limiting Factor in Online Learning: Quantifying (Dis-)similarities of Knowledge Networks,multiple texts; information landscape; knowledge graphs; intratextual similarity; intertextual similarity; three-level topic model; network similarity measurement; linguistic relativity,0,0,0,1,0,0,0,1,0,0,0,1,1,0
93,W4414351282,Virtual Reality in Critical Care Nursing Education: A Scoping Review,nursing care; intensive care units; virtual reality; technology-enhanced education; nursing education,1,0,0,0,0,0,0,1,0,0,0,0,0,0
94,W4410008549,The Impact of Artificial Intelligence on Inclusive Education: A Systematic Review,artificial intelligence; inclusive education; special educational needs; systematic review; educational accessibility; ethical challenges; personalization of learning; AI in education,1,0,0,0,0,0,1,0,0,0,1,0,0,0
95,W4408034558,Contribution of Microlearning in Basic Education: A Systematic Review,digital information and communication technologies; teaching methodology; social perspective; teaching theories; online platforms; mobile technologies; digital tools; active learning,1,0,0,0,0,0,0,0,1,0,1,0,0,0
96,W4402687093,A Systematic Literature Review of Integrated STEM Education: Uncovering Consensus and Diversity in Principles and Characteristics,STEM education; integration; theoretical frameworks; principles; systematic literature review; primary and secondary education; integrated STEM,0,1,0,0,0,0,1,0,0,0,1,0,0,0
97,W4401907806,Teaching Methodologies of Gross Anatomy Education for Undergraduate Physiotherapy Students: An Updated Scoping Review,education; gross anatomy; undergraduate; physiotherapy,0,0,1,0,0,0,0,0,1,0,0,0,0,0
98,W4390662869,A Systematic Scoping Review on Research Focusing on Professionals Attitudes toward School Attendance Problems,school attendance problems; school refusal; truancy; school withdrawal; school exclusion; attitudes/professionals,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,W4386099131,Administrative Processes Efficiency Measurement in Higher Education Institutions: A Scoping Review,efficiency; quality; higher education; administrative processes,0,0,1,1,0,0,0,0,0,0,0,0,0,0
100,W4367624532,Effects of a Universal Design for Learning (UDL) Training Course on the Development Teachers Competences: A Systematic Review,Universal Design for Learning; UDL; Profile of Inclusive Teachers; school accessibility; neurosciences; review,0,0,0,0,0,1,1,0,0,0,1,0,0,0
101,W4303946503,Single-Case Writing Interventions for Students with Disorders of Intellectual Development: A Systematic Review and Meta-Analysis,writing; intellectual disability; single-case experimental design; systematic review; meta-analysis,0,0,0,0,0,0,1,0,1,0,1,1,0,0
102,W4321375736,Knowledge based urban development: An approach to innovation districts based on education,innovation districts; STEM education; educational innovation; socially oriented education; higher education,0,1,1,0,0,0,0,0,0,0,1,0,0,0
103,W4391229585,A Study of the Effects of a Structured Daily Physical Activity Intervention in Schools in Malta,pedometer; daily physical activity; children; Malta; state schools,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104,W4410331954,The I-Ork project: a technological approach to inclusive music making and therapy,accessible digital music instruments (ADMIs); music technology applications; music therapy; inclusive music making; IMTAP protocol,1,0,0,0,0,0,1,0,0,0,0,0,0,0
105,W4410753811,Inferential Reading Skills in High School: A Study on Comprehension Profiles,reading strategies; comprehension profiles; inferential processing; finger-tracking; cognitive reading processes,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,W4414707141,Virtual Bridges: Enhancing Intercultural Competence Among Pre-Service Teachers Through 3D and Video-Conferencing Platforms,virtual simulation; online collaboration; intercultural competence; pre-service teachers; mixed-methods research,0,0,0,0,0,1,0,0,0,0,0,0,0,0
107,W7154132050,Exploring social distance of Iranian students from international students: a preliminary survey study,Social interaction; Bogardus Social Distance Scale (BSDS); academic major; higher education; international students; social closeness,0,0,1,0,0,0,0,0,0,0,1,0,0,0
108,W3205081603,Childrens Motivation to Learn at Home During the COVID-19 Pandemic: Insights From Indian Parents,motivation; COVID-19; learning; survey; India; parent; children,0,0,0,0,1,0,0,0,0,0,0,0,0,1
109,W4379056796,A randomized controlled experiment for comparing face-to-face and online teaching during COVID-19 pandemic,e-learning; face-to-face learning; online teaching; randomized controlled experiment; teaching effectiveness,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110,W4406121368,From Gaming to Reality: Effectiveness of Skills Transfer from Competitive Sandbox Gaming Environment to Near and Far Contexts,4Cs skills; esports; sandbox game; competitive gaming environment; skills transfer; experimental design,0,0,0,0,0,0,0,0,0,0,1,0,0,0
111,W2902836808,"The Learning Styles Educational Neuromyth: Lack of Agreement Between Teachers Judgments, Self-Assessment, and Students Intelligence", learning styles; auditory; visual; kinaesthetic; neuromyths; VAK; intelligence,0,0,0,1,0,1,0,0,0,0,0,0,0,0
112,W4282842276,Teachers Attitudes towards Inclusive Education at Greek Secondary Education Schools,attitudes; inclusive education; Greek secondary schools; general education; special education,0,0,0,0,0,1,1,0,0,0,0,0,0,0
113,W4366266252,Unraveling the relation between representational competence and conceptual knowledge across four samples from two different countries,representational competence; conceptual knowledge; undergraduates; stem education; latent profile analysis,0,1,1,0,0,0,0,0,0,0,0,0,0,0
114,W4392054927,InClass  an instrument to assess classroom management in inclusive and special education with a focus on heterogeneous learning groups,classroom management; InClass; inclusive education; special education; student teachers; special educational needs (SEN),0,0,0,0,0,1,1,0,0,0,0,0,0,0
115,W2995887784,The Impact of Performance Goals on Cheating Depends on How Performance Is Evaluated,achievement goals; evaluation standards; cheating; academic dishonesty; performance goals,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,W7119127971,Challenging the notion of a general disfluency effect: the moderating effect of element-interactivity on perceptual disfluency,cognitive load; disfluency effect; element interactivity; metacognition; perceptual disfluency,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117,W4416128254,How useful are interpretation aids for communicating large-scale assessment results to teachers?,large-scale assessment (LSA); reading literacy; teacher education; data literacy; science communication,0,0,0,1,0,1,0,0,0,0,0,1,1,0
118,W4406406258,"Supportive teachers, active students: Is teacher support a promising key to engaging students with and without migration backgrounds?",migration background; teacher support; error culture; participation; engagement,0,0,0,0,1,1,0,0,0,0,0,0,0,0
119,W4406041816,Do future biology teachers bug out with higher insect-related knowledge and more positive attitudes? A comparison of different education levels,biology education; knowledge about insects; attitudes toward insects; secondary school students; pre-service biology teachers; gender,0,1,0,0,0,1,1,0,0,0,0,0,0,0
120,W4404537873,Communal and agentic teacher behavior in teacher-child dyads. A new self-report scale based on a circumplex approach,agency; communion; interpersonal teacher behavior; dyads; adaptive teaching,0,0,0,0,0,1,0,0,0,0,0,0,0,0
121,W4399157459,Using the thin slices technique to assess interactional quality in early childhood education and care settings,thin slices technique; ECEC research; interaction quality; psychometric accuracy; first impressions; applied measurement,0,0,0,1,0,0,0,0,0,0,0,0,0,1
122,W4394723324,Early cognitive predictors of spelling and reading in German-speaking children,spelling development; reading development; predictors; longitudinal; kindergarten; German orthography,0,0,0,0,0,0,0,0,0,0,0,1,0,1
123,W4387569670,A question of feedback? Studying effects of academic performance and teacher feedback on primary school students social acceptance in an experimental setting,social acceptance; teacher feedback; social referencing; social participation; peer acceptance,0,0,0,0,0,1,0,0,0,0,0,0,0,1
124,W4320495761,"The impact of social comparison processes on self-evaluation of performance, self-concept, and task interest",social comparison; self-evaluation; self-concept; interest; contrast effects,0,0,0,1,1,0,0,0,0,0,0,0,0,0
125,W4311865240,Teachers trust educational science - Especially if it confirms their beliefs,evidence-informed education; anecdotal evidence; confirmation bias; second-hand evaluation; scientific evidence; trust in science; teacher education,0,0,0,1,0,1,0,0,0,0,0,0,0,0
126,W4309698393,Simulating computerized adaptive testing in special education based on inclusive progress monitoring data,computerized adaptive testing; inclusive; diagnostics; assessment; formative,0,0,0,1,0,0,1,0,0,0,0,0,0,0
127,W4308416323,"Diagnostic argumentation in teacher education: Making the case for justification, disconfirmation, and transparency",teacher education; diagnostic argumentation; scientific argumentation; diagnostic accuracy; diagnostic judgment; diagnostic knowledge,0,0,0,0,0,1,0,0,0,1,0,0,0,0
128,W4303962057,"Understanding the relationship between perceived stress, academic motivation, and physical activity in college students during the coronavirus pandemic",coronavirus pandemic; stress; motivation; physical activity; students; gender differences,0,0,1,0,1,0,1,0,0,0,0,0,0,0
